HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459865.64700,2022-10-13.1477164,br,1.86,15.804,14.492,0.066,5.799,0.353,g
2459865.64824,2022-10-13.1489592,br,1.48,15.830,14.738,0.081,4.623,0.342,g
2459867.31118,2022-10-14.8120548,bn,1.72,15.739,14.252,0.056,7.235,0.370,g
2459867.31242,2022-10-14.8132990,bn,1.68,15.804,14.211,0.051,7.509,0.351,g
2459867.31366,2022-10-14.8145400,bn,1.75,15.770,14.372,0.060,6.476,0.360,g
2459867.55650,2022-10-15.0574003,bF,2.00,16.342,14.264,0.032,7.148,0.214,g
2459867.55781,2022-10-15.0587061,bF,2.00,16.439,14.232,0.029,7.370,0.196,g
2459867.55909,2022-10-15.0599869,bF,1.98,16.431,14.229,0.030,7.386,0.199,g
2459868.55218,2022-10-16.0531770,bj,1.55,16.425,14.372,0.033,6.476,0.197,g
2459868.55342,2022-10-16.0544197,bj,1.45,16.474,14.346,0.031,6.627,0.189,g
2459868.55465,2022-10-16.0556486,bj,1.50,16.491,14.356,0.031,6.570,0.186,g
2459869.51457,2022-10-17.0156708,bj,2.01,16.428,14.266,0.030,7.141,0.197,g
2459869.51581,2022-10-17.0169054,bj,2.00,16.478,14.219,0.027,7.457,0.188,g
2459869.51704,2022-10-17.0181310,bj,2.01,16.422,14.254,0.030,7.219,0.198,g
2459872.27891,2022-10-19.7802605,bn,1.46,16.043,14.219,0.041,7.453,0.281,g
2459872.28022,2022-10-19.7815754,bn,1.46,16.085,14.374,0.045,6.462,0.270,g
2459872.28146,2022-10-19.7828210,bn,1.56,16.034,14.193,0.040,7.633,0.284,g
2459873.27453,2022-10-20.7759774,bn,1.62,15.967,14.202,0.044,7.575,0.302,g
2459873.27578,2022-10-20.7772320,bn,1.69,16.060,14.285,0.044,7.012,0.278,g
2459873.27702,2022-10-20.7784783,bn,1.59,16.066,14.192,0.039,7.643,0.274,g
2459873.51890,2022-10-21.0203866,bj,1.47,16.424,14.314,0.031,6.831,0.197,g
2459873.52015,2022-10-21.0216248,bj,1.56,16.457,14.346,0.031,6.635,0.191,g
2459873.52137,2022-10-21.0228552,bj,1.49,16.353,14.288,0.033,6.998,0.210,g
2459875.28043,2022-10-22.7820723,bn,1.40,16.157,14.258,0.039,7.188,0.256,g
2459875.28166,2022-10-22.7833048,bn,1.51,16.185,14.165,0.034,7.832,0.247,g
2459875.28289,2022-10-22.7845312,bn,1.40,16.076,14.316,0.043,6.818,0.272,g
2459876.49875,2022-10-24.0005067,bj,1.59,16.251,14.353,0.038,6.585,0.230,g
2459876.50000,2022-10-24.0017622,bj,1.56,16.213,14.310,0.038,6.856,0.239,g
2459876.50125,2022-10-24.0030097,bj,1.49,16.471,14.318,0.030,6.805,0.189,g
2459877.51149,2022-10-25.0133313,bF,2.02,16.459,14.423,0.034,6.179,0.190,g
2459877.51278,2022-10-25.0146269,bF,2.00,16.428,14.384,0.033,6.404,0.197,g
2459877.51408,2022-10-25.0159283,bF,2.01,16.402,14.346,0.033,6.627,0.201,g
2459879.49812,2022-10-27.0001498,bF,2.25,15.867,14.390,0.056,6.368,0.328,g
2459879.49941,2022-10-27.0014436,bF,2.22,16.086,14.392,0.046,6.359,0.268,g
2459880.59406,2022-10-28.0961967,br,1.43,16.362,14.264,0.032,7.152,0.209,g
